ID,Infection_status,lf_length,lf_width,stem_diameter_mm,fruit_width,fruit_length,transect_number,field_notes,Paired_data_plants,seed_count,seed_count_notes,Seed_count_real_or_predicted,pair_number
F57,Nonsymptomatic,9,,4.1,6.2,9.7,,,No,19,,Real,
F58,Nonsymptomatic,9.6,,3.2,5.5,6.7,,,No,10,,Real,
F59,Nonsymptomatic,14.5,,5,7.2,11.8,,,No,36,,Real,
F6,Nonsymptomatic,12.1,,3.9,7.1,10.9,,,No,36,,Real,
F60,Nonsymptomatic,11.8,,4.1,5.6,8.3,,,No,21,,Real,
F61,Nonsymptomatic,9.7,,3.4,5.6,8.6,,,No,16,,Real,
F62,Nonsymptomatic,9,,3.5,8,9.9,,,No,19,,Real,
F63,Nonsymptomatic,7.6,,2,4.9,6.6,,,No,8,,Real,
F64,Nonsymptomatic,10.5,,3.9,6.8,9.6,,,No,15,,Real,
F65,Nonsymptomatic,5.3,,2.2,4,5.7,,lf munched,No,3,,Real,
F66,Nonsymptomatic,7.1,,3.2,6.6,8.8,,lf munched,No,24,,Real,
F67,Nonsymptomatic,8.9,,2.1,4.6,6.5,,,No,0,,Real,
F68,Nonsymptomatic,8.4,,2.4,6.2,8.2,,,No,20,,Real,
F69,Nonsymptomatic,9.3,,2.8,5.8,7,,,No,14,,Real,
F7,Nonsymptomatic,8.2,,2.8,5.5,7.2,,,No,13,,Real,
F70,Nonsymptomatic,9.7,,3.5,6.3,10.8,,,No,20,,Real,
F71,Nonsymptomatic,11.4,,3.8,6.2,10.3,,,No,20,,Real,
F72,Nonsymptomatic,7.1,,2.4,4.7,6.8,,lf munched,No,11,,Real,
F73,Nonsymptomatic,10.7,,3,6.9,9.3,,,No,18,,Real,
F74,Nonsymptomatic,7.8,,2.9,6.2,7.5,,,No,16,,Real,
F75,Nonsymptomatic,9.5,,2.7,5,7.6,,,No,7,,Real,
F76,Nonsymptomatic,7.3,,2.4,5.5,7.9,,,No,17,,Real,
F77,Nonsymptomatic,8,,2.5,5.3,5.9,,,No,10,,Real,
F78,Nonsymptomatic,8.8,,3.6,5.6,7.4,,,No,18,,Real,
F79,Nonsymptomatic,10.1,,3.4,6.7,9.3,,,No,24,,Real,
F8,Nonsymptomatic,11.3,,3.5,6.5,10.3,,,No,25,,Real,
F80,Nonsymptomatic,9.9,,2.9,6.4,9.7,,,No,17,,Real,
F81,Nonsymptomatic,12.4,,4.4,7.3,10.6,,,No,15,,Real,
F82,Nonsymptomatic,12.8,,4.5,7.6,11.8,,,No,30,,Real,
F83,Nonsymptomatic,10.3,,3.7,7.1,10.1,,,No,30,,Real,
F84,Nonsymptomatic,10.1,,3.4,6.8,10.4,,,No,34,,Real,
F85,Nonsymptomatic,11.8,,3.7,6.6,10.3,,,No,27,,Real,
F86,Nonsymptomatic,10.4,,3.4,5.8,9.2,,,No,18,,Real,
F87,Nonsymptomatic,9.2,,3.1,5.8,7.1,,,No,16,,Real,
F88,Nonsymptomatic,7.3,,2,4.2,5.5,,antho starting,No,6,,Real,
F89,Nonsymptomatic,12.5,,4.4,6.8,9.8,,,No,39,,Real,
F9,Nonsymptomatic,9.6,,3.9,6,8.5,,,No,15,,Real,
F90,Nonsymptomatic,9,,2.6,4.8,7.5,,,No,14,,Real,
F91,Nonsymptomatic,9,,3.4,6.3,8.2,,,No,21,,Real,
F92,Nonsymptomatic,9.5,,2.4,5.9,8.2,,,No,19,,Real,
F93,Nonsymptomatic,8.8,,2.7,5.6,7.8,,,No,15,,Real,
F94,Nonsymptomatic,9.1,,2.7,6,7.1,,,No,16,,Real,
F95,Nonsymptomatic,8.2,,3,5.8,9,,maybe diseased,No,20,,Real,
F96,Nonsymptomatic,9,,3.5,6.9,10,,,No,26,,Real,
F97,Nonsymptomatic,6.8,,2.5,5,6.8,,,No,10,,Real,
F98,Nonsymptomatic,10.4,,2.8,6.7,8.3,,,No,23,,Real,
F99,Nonsymptomatic,8.8,,3,5.5,7.8,,,No,9,,Real,
D001,Symptomatic,9.9,6.1,,NA,NA,1,,Yes,0,no fruit,Real,1
D003,Symptomatic,8.9,4.7,,5.5,7.5,1,,Yes,12,12,Real,3
D005,Symptomatic,10.4,6.1,,8,10,5,,Yes,30,30,Real,5
D006,Symptomatic,11.9,6.7,,NA,NA,6,,Yes,0,no fruit,Real,6
D007,Symptomatic,10.8,8.5,,6.1,9.8,7,,Yes,30,30,Real,7
D008,Symptomatic,7.8,4,,1.3,4.6,8,,Yes,0,0,Real,8
D009,Symptomatic,12.8,8.8,,7.3,12.1,9,,Yes,32,32,Real,9
D010,Symptomatic,8.4,5.1,,6.6,8.1,10,,Yes,16,16,Real,10
D011,Symptomatic,9.9,5.6,,7,8.9,11,,Yes,25,25,Real,11
D012,Symptomatic,10.5,6.4,,4.8,6.5,12,,Yes,9,9,Real,12
D013,Symptomatic,9.4,7.4,,6.8,7.8,9,,Yes,7,7,Real,13
D014,Symptomatic,9.8,8.1,,6.7,7.2,14,,Yes,9,9,Real,14
D015,Symptomatic,12.4,8.4,,7.1,9.3,15,,Yes,20,20,Real,15
D016,Symptomatic,8,4,,NA,NA,16,,Yes,,not relocated,Real,16
D017,Symptomatic,14.2,11.9,,11,13.9,17,,Yes,62,62,Real,17
D018,Symptomatic,8.3,4.7,,NA,NA,18,,Yes,,not relocated,Real,18
D020,Symptomatic,11,7.9,,7.1,8.6,20,,Yes,8,8,Real,20
D021,Symptomatic,7.9,5.1,,NA,NA,21,,Yes,0,no fruit,Real,21
D023,Symptomatic,11.5,7.5,,6.5,9.8,23,,Yes,,NEED TO CALC FROM 100 SAMPLE,Real,23
D024,Symptomatic,9,7.3,,9.1,11.1,24,,Yes,,NEED TO CALC FROM 100 SAMPLE,Real,24
D026,Symptomatic,5.6,5.4,,6.7,7.6,26,,Yes,14,14,Real,26
D030,Symptomatic,9.4,5,,NA,NA,20,,Yes,,not relocated,Real,30
D031,Symptomatic,10.3,5.8,,6.6,9,31,,Yes,19,19,Real,31
D034,Symptomatic,7.6,5.3,,5.6,7.2,34,,Yes,11,11,Real,34
D035,Symptomatic,6.6,3.8,,5.2,7.1,35,,Yes,9,9,Real,35
D036,Symptomatic,8,4,,4.9,6.7,36,,Yes,7,7,Real,36
D039,Symptomatic,5,2.8,,4.7,6.5,26,,Yes,6,6,Real,39
D040,Symptomatic,7.4,4.8,,3.8,5,40,,Yes,6,6,Real,40
D041,Symptomatic,8,4.6,,3.4,6.5,41,,Yes,6,6,Real,41
D042,Symptomatic,8.6,4.2,,3,3.5,42,,Yes,0,0,Real,42
D047,Symptomatic,5.9,3.6,,NA,NA,47,,Yes,,not relocated,Real,47
D048,Symptomatic,10,5.7,,7,9.2,48,,Yes,14,14,Real,48
D049,Symptomatic,8.8,5.7,,1.9,3.8,49,,Yes,0,,Real,49
