ID,Infection_status,lf_length,lf_width,stem_diameter_mm,fruit_width,fruit_length,transect_number,field_notes,Paired_data_plants,seed_count,seed_count_notes,Seed_count_real_or_predicted,pair_number
D138,Symptomatic,11.4,5.8,,NA,NA,56,,Yes,25.5824,,Predicted_from_lf_length,138
D139,Symptomatic,8.5,4.5,,NA,NA,21,,Yes,13.56647,,Predicted_from_lf_length,139
H001,Nonsymptomatic,11.6,7.2,,,,1,,Yes,26.72634,,Predicted_from_lf_length,1
H003,Nonsymptomatic,9.7,6.2,,,,1,,Yes,17.63829,,Predicted_from_lf_length,3
H005,Nonsymptomatic,7.1,4.4,,,,5,,Yes,9.988021,,Predicted_from_lf_length,5
H006,Nonsymptomatic,13.2,9.5,,,,6,,Yes,37.92498,,Predicted_from_lf_length,6
H007,Nonsymptomatic,9.8,6.8,,,,7,,Yes,18.02833,,Predicted_from_lf_length,7
H008,Nonsymptomatic,7.7,4.6,,,,8,,Yes,11.3887,,Predicted_from_lf_length,8
H009,Nonsymptomatic,10.4,6.7,,,,9,,Yes,20.55655,,Predicted_from_lf_length,9
H010,Nonsymptomatic,9.3,5.1,,,,10,,Yes,16.16069,,Predicted_from_lf_length,10
H011,Nonsymptomatic,8,5.1,,,,11,,Yes,12.16106,,Predicted_from_lf_length,11
H012,Nonsymptomatic,9.9,5.8,,,,12,,Yes,18.427,,Predicted_from_lf_length,12
H013,Nonsymptomatic,8.2,5.6,,,,9,,Yes,12.70485,,Predicted_from_lf_length,13
H014,Nonsymptomatic,9.2,6.2,,,,14,,Yes,15.81105,,Predicted_from_lf_length,14
H015,Nonsymptomatic,12.4,9.7,,,,12,,Yes,31.83702,,Predicted_from_lf_length,15
H016,Nonsymptomatic,10.4,5.8,,,,16,,Yes,20.55655,,Predicted_from_lf_length,16
H017,Nonsymptomatic,14.8,10.3,,,,17,,Yes,53.81596,,Predicted_from_lf_length,17
H018,Nonsymptomatic,9.9,6.9,,,,18,,Yes,18.427,,Predicted_from_lf_length,18
H020,Nonsymptomatic,12,8.3,,,,20,,Yes,29.16997,,Predicted_from_lf_length,20
H021,Nonsymptomatic,9.5,5.6,,,,21,,Yes,16.88333,,Predicted_from_lf_length,21
H023,Nonsymptomatic,11.7,6.1,,,,23,,Yes,27.31735,,Predicted_from_lf_length,23
H024,Nonsymptomatic,8.7,8.8,,,,24,,Yes,14.17311,,Predicted_from_lf_length,24
H026,Nonsymptomatic,8.2,5.8,,,,26,,Yes,12.70485,,Predicted_from_lf_length,26
H030,Nonsymptomatic,10.7,6.9,,,,20,,Yes,21.95066,,Predicted_from_lf_length,30
H031,Nonsymptomatic,9.6,6.3,,,,31,,Yes,17.25668,,Predicted_from_lf_length,31
H034,Nonsymptomatic,9.2,5.2,,,,34,,Yes,15.81105,,Predicted_from_lf_length,34
H035,Nonsymptomatic,7.4,4.5,,,,35,,Yes,10.66539,,Predicted_from_lf_length,35
H036,Nonsymptomatic,7.6,4.6,,,,36,,Yes,11.1423,,Predicted_from_lf_length,36
H039,Nonsymptomatic,6.6,5.1,,,,26,,Yes,8.953315,,Predicted_from_lf_length,39
H040,Nonsymptomatic,8.2,5,,,,40,,Yes,12.70485,,Predicted_from_lf_length,40
H041,Nonsymptomatic,9.3,5.1,,,,41,,Yes,16.16069,,Predicted_from_lf_length,41
H042,Nonsymptomatic,8.1,3.6,,,,42,,Yes,12.42998,,Predicted_from_lf_length,42
H047,Nonsymptomatic,8.9,5.6,,,,47,,Yes,14.80688,,Predicted_from_lf_length,47
H048,Nonsymptomatic,9.2,4.7,,,,48,,Yes,15.81105,,Predicted_from_lf_length,48
H049,Nonsymptomatic,7.1,6.6,,,,49,,Yes,9.988021,,Predicted_from_lf_length,49
H051,Nonsymptomatic,10.1,7.8,,,,51,,Yes,19.25098,,Predicted_from_lf_length,51
H052,Nonsymptomatic,9.5,7.7,,,,51,,Yes,16.88333,,Predicted_from_lf_length,52
H053,Nonsymptomatic,12.4,7.9,,,,51,,Yes,31.83702,,Predicted_from_lf_length,53
H056,Nonsymptomatic,8.2,5.1,,,,56,,Yes,12.70485,,Predicted_from_lf_length,56
H062,Nonsymptomatic,11.8,8,,,,62,,Yes,27.92144,,Predicted_from_lf_length,62
H063,Nonsymptomatic,9.5,7.1,,,,62,,Yes,16.88333,,Predicted_from_lf_length,63
H065,Nonsymptomatic,9,5.4,,,,65,,Yes,15.13431,,Predicted_from_lf_length,65
H066,Nonsymptomatic,8.3,5.7,,,,66,,Yes,12.9858,,Predicted_from_lf_length,66
H069,Nonsymptomatic,8.8,5,,,,69,,Yes,14.48653,,Predicted_from_lf_length,69
H070,Nonsymptomatic,7.8,5.7,,,,70,,Yes,11.64054,,Predicted_from_lf_length,70
H071,Nonsymptomatic,9.7,6.4,,,,71,,Yes,17.63829,,Predicted_from_lf_length,71
H073,Nonsymptomatic,8.3,5.1,,,,73,,Yes,12.9858,,Predicted_from_lf_length,73
H075,Nonsymptomatic,9.4,6,,,,75,,Yes,16.51806,,Predicted_from_lf_length,75
H076,Nonsymptomatic,12.2,7.1,,,,76,,Yes,30.47433,,Predicted_from_lf_length,76
H077,Nonsymptomatic,11.5,9,,,,77,,Yes,26.14812,,Predicted_from_lf_length,77
H078,Nonsymptomatic,11.5,10.7,,,,78,,Yes,26.14812,,Predicted_from_lf_length,78
H079,Nonsymptomatic,13.8,11.1,,,,79,,Yes,43.24342,,Predicted_from_lf_length,79
H080,Nonsymptomatic,11.6,8.5,,,,80,,Yes,26.72634,,Predicted_from_lf_length,80
H081,Nonsymptomatic,8.3,6.5,,,,80,,Yes,12.9858,,Predicted_from_lf_length,81
H092,Nonsymptomatic,7.2,4.8,,,,36,,Yes,10.20889,,Predicted_from_lf_length,92
H093,Nonsymptomatic,6.5,4.2,,,,42,,Yes,8.75961,,Predicted_from_lf_length,93
H094,Nonsymptomatic,8.1,3.9,,,,40,,Yes,12.42998,,Predicted_from_lf_length,94
H095,Nonsymptomatic,8.7,5.5,,,,41,,Yes,14.17311,,Predicted_from_lf_length,95
H096,Nonsymptomatic,11.5,6.1,,,,16,,Yes,26.14812,,Predicted_from_lf_length,96
H097,Nonsymptomatic,9.2,5.5,,,,16,,Yes,15.81105,,Predicted_from_lf_length,97
H098,Nonsymptomatic,10.1,5.9,,,,16,,Yes,19.25098,,Predicted_from_lf_length,98
H099,Nonsymptomatic,11.3,7.2,,,,16,,Yes,25.02892,,Predicted_from_lf_length,99
H100,Nonsymptomatic,8.8,6.3,,,,16,,Yes,14.48653,,Predicted_from_lf_length,100
H101,Nonsymptomatic,11.2,7.5,,,,101,,Yes,24.48742,,Predicted_from_lf_length,101
H102,Nonsymptomatic,13.6,8.6,,,,101,,Yes,41.39251,,Predicted_from_lf_length,102
H103,Nonsymptomatic,7,4.5,,,,101,,Yes,9.771929,,Predicted_from_lf_length,103
H104,Nonsymptomatic,10.6,6.8,,,,20,,Yes,21.47575,,Predicted_from_lf_length,104
H105,Nonsymptomatic,9.7,6.2,,,,20,,Yes,17.63829,,Predicted_from_lf_length,105
H106,Nonsymptomatic,11.1,7.3,,,,20,,Yes,23.95764,,Predicted_from_lf_length,106
H107,Nonsymptomatic,9.2,5.5,,,,20,,Yes,15.81105,,Predicted_from_lf_length,107
H108,Nonsymptomatic,11.6,7.7,,,,5,,Yes,26.72634,,Predicted_from_lf_length,108
H109,Nonsymptomatic,10.2,6.8,,,,9,,Yes,19.67668,,Predicted_from_lf_length,109
H110,Nonsymptomatic,12.1,7,,,,9,,Yes,29.81502,,Predicted_from_lf_length,110
H111,Nonsymptomatic,9.2,5.9,,,,6,,Yes,15.81105,,Predicted_from_lf_length,111
H112,Nonsymptomatic,11.6,6.9,,,,112,,Yes,26.72634,,Predicted_from_lf_length,112
H113,Nonsymptomatic,10.9,6.9,,,,113,,Yes,22.9322,,Predicted_from_lf_length,113
H114,Nonsymptomatic,9.9,5.8,,,,114,,Yes,18.427,,Predicted_from_lf_length,114
H115,Nonsymptomatic,11,7,,,,114,,Yes,23.43931,,Predicted_from_lf_length,115
H116,Nonsymptomatic,10.4,5.5,,,,116,,Yes,20.55655,,Predicted_from_lf_length,116
H117,Nonsymptomatic,8.2,6.3,,,,116,,Yes,12.70485,,Predicted_from_lf_length,117
H118,Nonsymptomatic,9.8,5.8,,,,76,,Yes,18.02833,,Predicted_from_lf_length,118
H119,Nonsymptomatic,8.4,4.6,,,,73,,Yes,13.27296,,Predicted_from_lf_length,119
H120,Nonsymptomatic,6.4,4.9,,,,49,,Yes,8.570095,,Predicted_from_lf_length,120
H121,Nonsymptomatic,9.4,4.7,,,,49,,Yes,16.51806,,Predicted_from_lf_length,121
H122,Nonsymptomatic,7.2,6.3,,,,122,,Yes,10.20889,,Predicted_from_lf_length,122
H123,Nonsymptomatic,8.4,5.4,,,,123,,Yes,13.27296,,Predicted_from_lf_length,123
H124,Nonsymptomatic,8.4,3.6,,,,47,,Yes,13.27296,,Predicted_from_lf_length,124
H125,Nonsymptomatic,8.3,5.1,,,,125,,Yes,12.9858,,Predicted_from_lf_length,125
H126,Nonsymptomatic,8.4,5.8,,,,125,,Yes,13.27296,,Predicted_from_lf_length,126
H127,Nonsymptomatic,9.1,6.4,,,,69,,Yes,15.46898,,Predicted_from_lf_length,127
H128,Nonsymptomatic,10.8,7.4,,,,69,,Yes,22.43606,,Predicted_from_lf_length,128
H129,Nonsymptomatic,10.3,5.9,,,,69,,Yes,20.1118,,Predicted_from_lf_length,129
H130,Nonsymptomatic,7.5,5,,,,130,,Yes,10.90124,,Predicted_from_lf_length,130
H131,Nonsymptomatic,6.3,3.9,,,,130,,Yes,8.384681,,Predicted_from_lf_length,131
H132,Nonsymptomatic,6.9,4.2,,,,130,,Yes,9.560513,,Predicted_from_lf_length,132
H133,Nonsymptomatic,11.1,6.7,,,,133,,Yes,23.95764,,Predicted_from_lf_length,133
H134,Nonsymptomatic,9,4.7,,,,133,,Yes,15.13431,,Predicted_from_lf_length,134
H135,Nonsymptomatic,8.9,6,,,,135,,Yes,14.80688,,Predicted_from_lf_length,135
H136,Nonsymptomatic,7.5,5.6,,,,136,,Yes,10.90124,,Predicted_from_lf_length,136
H137,Nonsymptomatic,9.2,6,,,,136,,Yes,15.81105,,Predicted_from_lf_length,137
H138,Nonsymptomatic,11,7.9,,,,56,,Yes,23.43931,,Predicted_from_lf_length,138
H139,Nonsymptomatic,10.7,7.1,,,,21,,Yes,21.95066,,Predicted_from_lf_length,139
